"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
3601	1	197.7928315	252.9512545	173.1056564	1395	44.10060184
3602	1	198.4109589	252.88969	167.3425827	1387	43.44900217
3603	1	198.4396552	253.2363506	169.6905016	1392	43.53176068
3604	1	199.0165587	253.5327574	167.5560299	1389	43.98265456
3605	1	199.4406048	253.3340533	169.583778	1389	43.60945697
3606	1	199.529454	253.5122126	170.5442903	1392	44.97880847
3607	1	199.6165468	253.5539568	170.2241195	1390	45.14093837
3608	1	199.7616991	253.3484521	169.7972252	1389	45.48837065
3609	1	200.1219336	253.2200577	168.9434365	1386	45.80194321
3610	1	200.212536	252.9178674	170.864461	1388	45.86589861
3611	1	200.2701149	253.1393678	171.6115261	1392	46.48938901
3612	1	200.6223022	252.9618705	169.6905016	1390	47.15318676
3613	1	201.259366	252.990634	169.9039488	1388	47.24853047
3614	1	201.8428262	252.7094448	170.1173959	1387	47.84832064
3615	1	202.3314121	252.9070605	170.1173959	1388	47.0847923
3616	1	203.0324207	253.0987032	168.303095	1388	46.75767979
3617	1	203.6319195	253.3472322	170.3308431	1391	46.59915759
3618	1	203.718705	253.1892086	166.2753469	1390	46.89314349
3619	1	204.0774749	253.6176471	168.9434365	1394	47.75752324
3620	1	204.5122478	253.9985591	167.9829242	1388	47.74477354
3621	1	204.8849748	253.69734	171.6115261	1391	47.82916144
3622	1	205.4844765	253.3819495	168.1963714	1385	47.51390258
3623	1	205.8807471	253.8053161	169.9039488	1392	47.45831693
3624	1	206.087113	254.4103672	170.5442903	1389	47.10587122
3625	1	206.4996411	254.2591529	170.7577375	1393	46.71471051
3626	1	206.9389806	253.913855	168.303095	1393	45.80489971
3627	1	207.2347012	254.161987	172.7854856	1389	45.74761341
3628	1	207.7837058	254.408796	168.0896478	1387	45.29806955
3629	1	208.9533381	254.5463029	171.0779082	1393	45.86999208
3630	1	209.1852118	254.8901651	170.1173959	1393	46.23535837
3631	1	209.6911447	254.3858891	170.7577375	1389	45.4015779
3632	1	210.2132565	254.5129683	170.6510139	1388	45.12559522
3633	1	210.6779783	254.3559567	169.0501601	1385	45.08907149
3634	1	211.1099138	254.5682471	166.7022412	1392	45.09425394
3635	1	211.2941601	255.0684932	170.0106724	1387	44.74069929
3636	1	211.9626705	255.2419239	171.1846318	1393	45.1137869
3637	1	212.9288793	255.1443966	171.1846318	1392	45.21315656
3638	1	213.2652768	255.0517613	171.5048026	1391	44.69835798
3639	1	213.6455331	255.0497118	171.7182497	1388	44.95060329
3640	1	214.4193084	254.8789625	166.3820704	1388	44.41926548
3641	1	215.2027318	255.2882818	168.7299893	1391	45.13354854
3642	1	215.5664989	255.3989935	167.8762006	1391	45.78995704
3643	1	215.6021583	255.0863309	171.1846318	1390	46.81897827
3644	1	215.8076095	255.3474515	172.9989328	1393	45.71476691
3645	1	215.9891931	255.5014409	170.2241195	1388	45.83209238
3646	1	216.1595974	255.5463695	170.0106724	1391	45.19520327
3647	1	215.9552992	255.4275415	171.0779082	1387	44.81050585
3648	1	215.9863408	255.2041697	169.4770544	1391	44.11133877
3649	1	216.2298271	255.4466859	169.2636073	1388	43.16759528
3650	1	216.5930985	255.364486	168.5165422	1391	43.35416857
3651	1	217.1530172	255.3376437	171.5048026	1392	44.46442544
3652	1	217.6790831	255.2313754	167.6627535	1396	44.74436703
3653	1	218.0612392	255.1383285	163.39381	1388	44.94399132
3654	1	218.3299712	255.064121	169.9039488	1388	45.2058293
3655	1	218.7243867	254.8585859	170.2241195	1386	46.15778119
3656	1	218.9726815	254.9676492	169.583778	1391	45.9617609
3657	1	219.6911447	254.7782577	168.303095	1389	46.11431706
3658	1	220.4315412	254.6408602	171.6115261	1395	46.54244604
3659	1	220.488138	254.5995687	173.8527215	1391	46.98266272
3660	1	220.9561151	254.5676259	167.3425827	1390	47.15804401
3661	1	221.2445887	254.5050505	163.5005336	1386	46.61495279
3662	1	221.4190065	254.9575234	169.583778	1389	46.17715597
3663	1	221.3591398	254.6516129	167.4493063	1395	46.87205379
3664	1	221.6139971	254.4343434	171.9316969	1386	46.44343835
3665	1	221.52886	254.7034632	164.4610459	1386	46.44262081
3666	1	222.0948276	254.716954	168.1963714	1392	46.9767134
3667	1	222.6310122	254.4436468	168.5165422	1393	45.97175621
3668	1	223.3242468	254.3701578	171.6115261	1394	46.31094031
3669	1	223.6517341	254.1322254	166.5955176	1384	46.08894196
3670	1	224.074874	254.1403888	168.5165422	1389	44.89017075
3671	1	224.1612671	254.1886249	168.6232657	1389	44.39092853
3672	1	224.7454939	254.2415285	170.7577375	1387	44.69183112
3673	1	225.3805755	254.1143885	170.9711846	1390	45.60202018
3674	1	225.8306916	254.0742075	170.9711846	1388	46.16972939
3675	1	226.3477011	253.7234195	169.7972252	1392	46.50174573
3676	1	226.7096774	253.6480287	169.7972252	1395	45.77332925
3677	1	227.1611511	253.3848921	168.7299893	1390	45.98368298
3678	1	227.5844716	252.9252336	167.022412	1391	46.6516836
3679	1	228.1137509	252.7393808	169.7972252	1389	46.50735367
3680	1	228.1808357	252.6159942	172.9989328	1388	46.4640754
3681	1	228.4076204	252.8454349	171.5048026	1391	46.51862022
3682	1	228.8532374	252.8604317	172.0384205	1390	46.15222701
3683	1	229.2973362	253.0093593	165.4215582	1389	45.79962305
3684	1	229.6393678	252.6408046	168.8367129	1392	46.33863245
3685	1	230.2079137	252.5928058	174.2796158	1390	46.49626929
3686	1	230.7684588	252.5870968	171.9316969	1395	46.33929721
3687	1	230.7402878	252.9093525	168.5165422	1390	46.5875211
3688	1	230.8832012	253.4297044	166.5955176	1387	45.80341446
3689	1	231.4038877	253.6781857	169.9039488	1389	45.84910063
3690	1	232.047482	253.5129496	168.1963714	1390	45.18186472
3691	1	232.3819095	253.8298636	170.5442903	1393	45.42757305
3692	1	232.6810345	254.0488506	166.2753469	1392	44.93776827
3693	1	233.2100719	253.8978417	171.8249733	1390	45.25844251
3694	1	233.6870504	253.7482014	169.583778	1390	45.8834091
3695	1	234.0964723	253.6652268	171.8249733	1389	45.49164276
3696	1	234.0623656	253.2903226	170.0106724	1395	46.01686227
3697	1	234.4506839	253.1223902	171.8249733	1389	45.75676961
3698	1	234.9971223	253.0482014	168.9434365	1390	45.72604535
3699	1	234.7952415	253.0461428	169.0501601	1387	46.03741504
3700	1	235.3714903	253.1814255	169.9039488	1389	45.79105518
3701	1	235.8824373	253.3290323	172.1451441	1395	45.89439725
3702	1	236.0915645	253.334535	168.1963714	1387	45.90500481
3703	1	236.4928367	252.9226361	164.6744931	1396	45.5863149
3704	1	236.8204758	253.2141312	165.3148346	1387	44.61256956
3705	1	237.007908	252.798706	166.8089648	1391	44.3713295
3706	1	237.6346016	252.5190237	168.7299893	1393	44.86585453
3707	1	238.0396539	252.408796	169.4770544	1387	45.1805259
3708	1	238.0943125	252.5233981	160.832444	1389	45.75145314
3709	1	238.7501795	252.2727925	169.583778	1393	45.06388343
3710	1	238.9734004	252.3127247	169.583778	1391	45.24776627
3711	1	239.2521552	252.3886494	167.7694771	1392	45.07117017
3712	1	239.8778902	252.7760116	164.7812166	1384	43.80831786
3713	1	240.8004323	252.7017291	167.8762006	1388	43.86423743
3714	1	240.9942405	253.1209503	168.7299893	1389	44.51226362
3715	1	241.2724659	252.713156	164.1408751	1391	44.02036977
3716	1	242.0050505	252.5880231	170.4375667	1386	43.80216741
3717	1	242.1025825	252.3737446	170.0106724	1394	43.77410383
3718	1	242.6056034	252.516523	170.0106724	1392	43.79651263
3719	1	243.0367965	252.5800866	167.3425827	1386	44.03539874
3720	1	243.4173851	252.5445402	166.8089648	1392	43.36037714
3721	1	243.9353912	252.5699928	171.398079	1393	43.72471477
3722	1	244.5988539	252.8653295	170.1173959	1396	43.81959262
3723	1	245.0151844	252.6449747	166.0618997	1383	43.40944356
