"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
1544	1	17.69462366	120.6086022	172.4653148	1395	50.96639732
1545	1	17.35158501	121.2355908	170.2241195	1388	51.13337401
1546	1	17.63210943	121.6717063	167.4493063	1389	51.1094708
1547	1	17.83213256	121.9243516	167.7694771	1388	50.90366566
1548	1	18.00504686	122.5839942	170.864461	1387	50.8383502
1549	1	17.75394548	123.3070301	166.3820704	1394	50.88994582
1550	1	17.51585014	123.1412104	166.5955176	1388	51.58654349
1551	1	17.41930836	123.5914986	169.583778	1388	52.48816252
1552	1	17.43741007	123.4776978	172.0384205	1390	52.10961227
1553	1	17.38228942	123.8660907	167.7694771	1389	52.19212755
1554	1	17.28602305	124.306196	172.1451441	1388	53.42856438
1555	1	17.21048851	124.3793103	167.7694771	1392	52.89507377
1556	1	17.41421393	124.1737258	170.0106724	1393	52.77532496
1557	1	17.61151079	123.8539568	170.2241195	1390	52.84009916
1558	1	17.25771716	124.2340273	168.303095	1393	52.67649204
1559	1	17.40977714	124.0244428	171.2913554	1391	52.71818856
1560	1	17.50539957	123.9805616	169.6905016	1389	52.40524206
1561	1	17.64172662	124.4561151	171.5048026	1390	51.28800398
1562	1	17.90431655	124.6273381	170.0106724	1390	51.40962595
1563	1	17.91654676	125.0366906	168.8367129	1390	51.28112847
1564	1	18.03458213	125.5835735	169.7972252	1388	51.48268679
1565	1	17.83477011	125.7270115	168.9434365	1392	52.04434173
1566	1	17.85786073	126.4594401	171.5048026	1393	52.64017795
1567	1	18.1716954	127.2622126	171.398079	1392	52.24381941
1568	1	18.13390929	127.4305256	168.7299893	1389	52.82161934
1569	1	17.87697842	127.7971223	171.2913554	1390	52.4440332
1570	1	17.55100575	128.3268678	171.1846318	1392	52.57092397
1571	1	17.60043197	128.7696184	167.9829242	1389	52.91515547
1572	1	17.76563623	129.3659238	171.1846318	1391	52.91653595
1573	1	17.91307471	129.5452586	169.3703308	1392	53.1811907
1574	1	17.79985601	129.6256299	169.4770544	1389	53.97205334
1575	1	17.92867435	130.4488473	170.7577375	1388	52.83778906
1576	1	17.8670977	130.9655172	170.2241195	1392	53.0761574
1577	1	17.91176471	131.5251076	168.9434365	1394	53.72397939
1578	1	18.10114778	131.9096126	166.488794	1394	52.93266919
1579	1	17.86897048	131.9409647	166.5955176	1389	51.83592136
1580	1	17.40674319	132.4791966	170.5442903	1394	52.40216853
1581	1	17.5936827	132.965542	172.1451441	1393	52.48150633
1582	1	17.74298056	133.6868251	171.5048026	1389	52.05900699
1583	1	17.78807471	134.0668103	168.8367129	1392	51.98536418
1584	1	17.79163663	134.2624369	166.0618997	1387	52.02243914
1585	1	17.90438533	134.5585909	169.0501601	1391	51.87720529
1586	1	18.11270639	135.2677674	171.7182497	1393	52.23629288
1587	1	18.00937275	135.5025234	167.9829242	1387	52.40984981
1588	1	17.94227994	136.9516595	168.1963714	1386	52.15706037
1589	1	17.76939655	137.6566092	167.5560299	1392	51.94707636
1590	1	17.62473041	137.8928828	169.3703308	1391	51.85402283
1591	1	17.49568966	138.3821839	170.1173959	1392	52.72343498
1592	1	17.54859611	138.6313895	169.1568837	1389	52.26894199
1593	1	17.29229662	138.6321094	166.488794	1389	52.41897824
1594	1	17.14470842	138.6537077	164.5677695	1389	51.89374667
1595	1	17.26776741	139.4752333	170.2241195	1393	52.27515178
1596	1	17.1381295	140.305036	170.2241195	1390	53.68013445
1597	1	17.13741007	140.9194245	169.583778	1390	53.95011351
1598	1	17.24046076	141.0561555	164.2475987	1389	53.49223651
1599	1	16.96755588	141.0800288	168.0896478	1387	53.37562273
1600	1	17.30071942	140.947482	168.7299893	1390	53.35480702
1601	1	17.69899425	140.8663793	167.2358591	1392	53.10000426
1602	1	17.75901876	141.2070707	166.9156884	1386	51.8762976
1603	1	17.75792507	141.6541787	170.3308431	1388	52.25353497
1604	1	17.58357349	141.7226225	167.2358591	1388	52.67124535
1605	1	17.79525862	141.5811782	169.4770544	1392	52.59973422
1606	1	17.8111031	142.07354	170.1173959	1387	52.57782024
1607	1	17.64532374	142.1683453	169.6905016	1390	51.808422
1608	1	17.83513319	142.2771778	166.3820704	1389	51.28217791
1609	1	18.03163192	142.7138749	167.6627535	1391	52.15244755
1610	1	18.20995671	142.6897547	164.4610459	1386	52.47401267
1611	1	18.23448773	142.8571429	169.6905016	1386	51.52938052
1612	1	18.43884892	142.8841727	166.8089648	1390	50.96944352
1613	1	18.14038877	143.0676746	169.9039488	1389	51.14224963
